,Unnamed: 0,country,year,population,gdp per capita nominal,gdp per capita ppp,iso_code,GNI,predicted_renewables_consumption
248,248,Peru,2024,34217848,8315.915,17775.18,PER,,87.32636999999991
249,249,Peru,2023,33845617,7912.956,17024.651,PER,7090.0,87.63957999999998
250,250,Philippines,2024,115843670,4153.593,12079.571,PHL,,50.90897999999996
251,251,Philippines,2023,114891199,3906.229,11281.377,PHL,4320.0,76.63804999999996
252,252,Poland,2024,38539201,23563.217,51628.831,POL,,75.12898000000003
253,253,Poland,2023,38762844,22085.808,48799.413,POL,19900.0,68.89114
254,254,Portugal,2024,10425292,29341.17,49236.504,PRT,,74.77104000000008
255,255,Portugal,2023,10430738,27834.773,47226.151,PRT,26150.0,70.83360000000008
256,256,Puerto Rico,2024,3242204,37925.934,49594.095,PRI,,0.0
257,257,Puerto Rico,2023,3242023,36779.059,47717.536,PRI,25240.0,0.0
258,258,Qatar,2024,3048423,71568.394,115074.541,QAT,,0.0
259,259,Qatar,2023,2979082,69540.54,111789.459,QAT,79430.0,0.0
260,260,Romania,2024,19015088,20088.859,47203.733,ROU,,68.56638000000008
261,261,Romania,2023,19118479,18424.685,44974.057,ROU,16660.0,68.93082000000003
262,262,Russia,2024,144820423,14952.904,47298.706,RUS,,506.1288099999999
263,263,Russia,2023,145440500,13738.704,44512.053,RUS,14250.0,525.6104400000002
264,264,Rwanda,2024,14256567,985.99,3746.809,RWA,,0.0
265,265,Rwanda,2023,13954471,1044.352,3510.651,RWA,990.0,0.0
266,266,Saint Lucia,2024,179744,14034.389,27051.657,LCA,,0.0
267,267,Saint Lucia,2023,179285,13358.349,25597.791,LCA,12350.0,0.0
268,268,Samoa,2024,218019,5048.032,6998.213,WSM,,0.0
269,269,Samoa,2023,216663,4478.194,6316.219,WSM,4200.0,0.0
270,270,Saudi Arabia,2024,33962757,32881.339,63117.954,SAU,,6.792190000000001
271,271,Saudi Arabia,2023,33264292,32529.678,61932.611,SAU,31860.0,7.4518200000000006
272,272,Senegal,2024,18501984,1805.139,5056.15,SEN,,0.0
273,273,Senegal,2023,18077573,1703.392,4786.495,SEN,1630.0,0.0
274,274,Serbia,2024,6736216,12513.826,29038.902,SRB,,0.0
275,275,Serbia,2023,6773201,11352.113,27183.331,SRB,10760.0,0.0
276,276,Seychelles,2024,130418,21289.801,41077.691,SYC,,0.0
277,277,Seychelles,2023,127951,21455.112,39248.893,SYC,16940.0,0.0
278,278,Sierra Leone,2024,8642022,856.315,3505.131,SLE,,0.0
279,279,Sierra Leone,2023,8460512,754.283,3359.662,SLE,870.0,0.0
280,280,Singapore,2024,5832387,89369.715,148185.776,SGP,,0.0
281,281,Singapore,2023,5789090,84734.277,141553.675,SGP,70590.0,0.42517000000000005
282,282,Slovakia,2024,5506760,26290.363,45632.207,SVK,,16.437640000000002
283,283,Slovakia,2023,5518055,24468.025,43555.921,SVK,22790.0,15.71430000000001
284,284,Slovenia,2024,2118697,34544.168,55683.968,SVN,,14.119219999999986
285,285,Slovenia,2023,2118396,32673.257,53631.545,SVN,30860.0,12.97759
286,286,Solomon Islands,2024,819198,2208.925,2626.655,SLB,,0.0
287,287,Solomon Islands,2023,800005,2124.809,2554.413,SLB,2100.0,0.0
